,Model_ID,Dataset,TOD,DOW,Lambda,Max_OnBoardTime_minute,Actual_Mean_OnBoardTime_minute,Actual_Min_OnBoardTime_minute,Actual_Max_OnBoardTime_minute,Median_Predicted_speed_mph,Over_Predicted_Speed_count,Under_Predicted_Speed_count,Sparsity,Avg_Count_Redunt,RMSE,Pearson_r,R_Squared,Min_Diff_sec,Max_Diff_sec,Mean_Diff_sec,Min_Abs_Diff_sec,Max_Abs_Diff_sec,Mean_Abs_Diff_sec,Number of Traces,Avg_Trace_length_m
0,1.0,Train,af,wed,4373146.525495126,15.0,6.30625,0.5166666666666667,14.5,10.586899203224913,0.0,0.0,Continuous,16.73446327683616,39.51191336170837,0.9842490165450064,0.9687461265698123,-145.89858544191316,120.66406941454636,-0.8106198062357602,145.89858544191316,145.89858544191316,29.697860287884513,184.0,1747.39
1,1.0,Test,af,wed,4373146.525495126,15.0,6.30625,0.5166666666666667,14.5,10.586899203224913,0.0,0.0,Continuous,16.73446327683616,45.4231937521203,0.9807955538190178,0.9619599183911539,-112.3916728497071,120.40540132747537,-2.407872601098951,120.40540132747537,120.40540132747537,35.22645220226113,83.0,2077.22
2,1.0,Validation,mo,wed,4373146.525495126,15.0,6.30625,0.5166666666666667,14.5,10.586899203224913,0.0,0.0,Continuous,16.73446327683616,95.98987343373317,0.94312956556439,0.889493377441675,-284.95893073378124,263.2543217509269,11.890868187091503,284.95893073378124,284.95893073378124,71.6836781749455,41.0,1747.39
3,1.0,Validation,ev,wed,4373146.525495126,15.0,6.30625,0.5166666666666667,14.5,10.586899203224913,0.0,0.0,Continuous,16.73446327683616,93.90283486245603,0.9175788433227083,0.8419509337134393,-277.48507299218795,211.04664942627255,4.957203765953564,277.48507299218795,277.48507299218795,68.85188383623084,55.0,1747.39
4,2.0,Train,af,wed,846688.8820950012,15.0,6.834375,1.5,13.866666666666667,10.802672562894545,0.0,0.0,Sparse,1.6723163841807909,44.52103354056058,0.9828509704372895,0.9659960300895217,-116.05854197767695,73.67902852894622,-9.411909596788234,116.05854197767695,116.05854197767695,33.29321196293764,16.0,1926.81
5,2.0,Test,af,wed,846688.8820950012,15.0,6.834375,1.5,13.866666666666667,10.802672562894545,0.0,0.0,Sparse,1.6723163841807909,68.73946057674874,0.967979222317289,0.9369837748379835,-149.9144727460989,224.91752242536631,-21.64663756854348,224.91752242536631,224.91752242536631,54.391422412672576,99.0,1913.83
6,2.0,Validation,mo,wed,846688.8820950012,15.0,6.834375,1.5,13.866666666666667,10.802672562894545,0.0,0.0,Sparse,1.6723163841807909,116.22878404861322,0.9267041015940298,0.858780491911198,-280.5201248061687,286.79282891586854,11.515352846741857,286.79282891586854,286.79282891586854,94.30497031765604,41.0,1926.81
7,2.0,Validation,ev,wed,846688.8820950012,15.0,6.834375,1.5,13.866666666666667,10.802672562894545,0.0,0.0,Sparse,1.6723163841807909,100.65741654054004,0.9068999428741501,0.8224675063851368,-349.0793290373856,219.45215057925122,2.900942126994068,349.0793290373856,349.0793290373856,77.93331039717664,55.0,1926.81
8,3.0,Train,af,wed,8881767.05572447,10.0,5.064492753623188,0.5166666666666667,9.4,10.93431139970342,0.0,0.0,Continuous,17.389830508474578,44.50454266996294,0.9523401811086369,0.9069518205540315,-124.79801102692576,115.32957146817716,-6.138155373163246,124.79801102692576,124.79801102692576,34.62730233720667,230.0,1398.06
9,3.0,Test,af,wed,8881767.05572447,10.0,5.064492753623188,0.5166666666666667,9.4,10.93431139970342,0.0,0.0,Continuous,17.389830508474578,44.447719273637496,0.9534658961823511,0.909097215182814,-127.39239482821154,99.52878111989571,-6.501650105695438,127.39239482821154,127.39239482821154,35.43094950788766,202.0,1461.06
10,3.0,Validation,mo,wed,8881767.05572447,10.0,5.064492753623188,0.5166666666666667,9.4,10.93431139970342,0.0,0.0,Continuous,17.389830508474578,86.90997216881318,0.9462838752215194,0.895453172504256,-269.21640326560293,244.3899890577759,-3.754081508169342,269.21640326560293,269.21640326560293,62.436965785026054,41.0,1398.06
11,3.0,Validation,ev,wed,8881767.05572447,10.0,5.064492753623188,0.5166666666666667,9.4,10.93431139970342,0.0,0.0,Continuous,17.389830508474578,95.39253466832349,0.914859374243716,0.8369676746416036,-285.6625862180365,217.80804947985428,-2.5196329342261308,285.6625862180365,285.6625862180365,68.26803645719926,55.0,1398.06
12,4.0,Train,af,wed,231608.5343262491,10.0,4.741666666666666,1.4666666666666666,8.316666666666666,11.871400818125474,0.0,0.0,Sparse,1.5988700564971752,23.937382302614246,0.9843363851352788,0.9689181191011879,-74.0142652103583,38.228879439996035,-5.405216910634571,74.0142652103583,74.0142652103583,15.242071127408058,22.0,1387.64
13,4.0,Test,af,wed,231608.5343262491,10.0,4.741666666666666,1.4666666666666666,8.316666666666666,11.871400818125474,0.0,0.0,Sparse,1.5988700564971752,51.58288592599039,0.9514508248686419,0.905258672143219,-160.06241526295258,69.83725972949583,-26.459376528480313,160.06241526295258,160.06241526295258,39.41389643456762,143.0,1371.62
14,4.0,Validation,mo,wed,231608.5343262491,10.0,4.741666666666666,1.4666666666666666,8.316666666666666,11.871400818125474,0.0,0.0,Sparse,1.5988700564971752,91.31452254385422,0.9453291017743767,0.8936471106615498,-267.4223370438774,184.0959349778759,-21.645514192815124,267.4223370438774,267.4223370438774,69.74542386452183,41.0,1387.64
